episode_id,timestep,episode_len,train_episode_return,num_achievements_unlocked,termination_reason
0,168,168,0.6,3,died
1,396,228,0.89,5,died
2,470,74,0.27,1,died
3,655,185,0.69,4,died
4,840,185,0.55,1,died
5,996,156,0.7,3,died
6,1127,131,0.36,1,died
7,1279,152,0.6,3,died
8,1446,167,0.45,1,died
9,1661,215,0.91,4,died
10,1839,178,0.57,3,died
11,2020,181,0.4,1,died
12,2193,173,0.83,4,died
13,2324,131,0.63,4,died
14,2494,170,0.6,3,died
15,2642,148,0.55,2,died
16,2842,200,1.22,4,died
17,3073,231,0.93,3,died
18,3292,219,0.75,3,died
19,3455,163,0.5,1,died
20,3610,155,0.65,2,died
21,3658,48,0.06,0,died
22,3725,67,0.14,0,died
23,3763,38,0.22,1,died
24,3914,151,0.5,2,died
25,4117,203,0.7,3,died
26,4303,186,0.61,4,died
27,4556,253,1.1,5,died
28,4748,192,0.5,2,died
29,4897,149,0.58,2,died
30,5053,156,0.4,1,died
31,5246,193,0.92,3,died
32,5424,178,0.46,1,died
33,5564,140,0.52,2,died
34,5715,151,0.35,1,died
35,5870,155,0.4,1,died
36,5922,52,0.32,2,died
37,6091,169,0.7,3,died
38,6261,170,0.48,1,died
39,6437,176,0.37,1,died
40,6515,78,0.45,2,died
41,6563,48,0.08,0,died
42,6750,187,0.71,4,died
43,6835,85,0.23,1,died
44,6994,159,0.45,1,died
45,7168,174,0.64,3,died
46,7362,194,0.63,3,died
47,7512,150,0.63,3,died
48,7698,186,0.75,3,died
49,7921,223,0.8,4,died
50,8161,240,1.13,5,died
51,8327,166,1.02,4,died
52,8498,171,0.79,4,died
53,8656,158,0.7,3,died
54,8836,180,0.72,4,died
55,9035,199,0.72,2,died
56,9199,164,0.68,2,died
57,9440,241,0.63,1,died
58,9626,186,0.59,3,died
59,10026,400,1.3,4,died
60,10204,178,0.61,4,died
61,10461,257,0.95,2,died
62,10582,121,0.28,1,died
63,10841,259,1.35,6,died
64,10981,140,0.58,3,died
65,11160,179,0.72,4,died
66,11363,203,0.78,2,died
67,11514,151,0.51,3,died
68,11700,186,0.47,1,died
69,11911,211,0.87,3,died
70,12062,151,0.56,3,died
71,12215,153,0.65,1,died
72,12389,174,0.72,3,died
73,12528,139,0.53,2,died
74,12726,198,0.43,1,died
75,12867,141,0.38,1,died
76,13038,171,0.98,5,died
77,13257,219,0.83,4,died
78,13441,184,0.66,3,died
79,13624,183,0.67,2,died
80,13816,192,0.83,3,died
81,14030,214,1.05,5,died
82,14161,131,0.41,1,died
83,14400,239,0.93,3,died
84,14566,166,0.46,1,died
85,14795,229,0.79,3,died
86,14883,88,0.4,2,died
87,15057,174,0.88,4,died
88,15319,262,1.06,4,died
89,15410,91,0.27,0,died
90,15552,142,0.48,1,died
91,15730,178,0.73,3,died
92,15974,244,0.78,3,died
93,16177,203,1.04,5,died
94,16274,97,0.28,1,died
95,16358,84,0.38,2,died
96,16503,145,0.8,3,died
97,16695,192,0.56,3,died
98,16859,164,0.71,3,died
99,17017,158,0.6,3,died
100,17104,87,0.36,2,died
101,17273,169,0.47,2,died
102,17487,214,0.73,3,died
103,17579,92,0.25,1,died
104,17737,158,0.67,4,died
105,17897,160,0.68,3,died
106,18075,178,0.68,3,died
107,18237,162,0.45,1,died
108,18386,149,0.53,2,died
109,18607,221,0.77,2,died
110,18764,157,0.59,3,died
111,18991,227,0.85,3,died
112,19168,177,0.83,4,died
113,19357,189,0.85,4,died
114,19509,152,0.62,3,died
115,19660,151,0.6,3,died
116,19819,159,0.5,1,died
117,19988,169,0.58,3,died
118,20138,150,0.7,3,died
119,20288,150,0.74,3,died
120,20450,162,0.7,4,died
121,20633,183,1.09,3,died
122,20680,47,0.08,0,died
123,20833,153,0.68,3,died
124,21007,174,0.48,1,died
125,21137,130,0.59,3,died
126,21312,175,0.67,3,died
127,21529,217,1.13,5,died
128,21705,176,0.81,3,died
129,21874,169,0.6,3,died
130,22043,169,0.65,3,died
131,22208,165,0.77,3,died
132,22254,46,0.3,2,died
133,22398,144,0.66,3,died
134,22549,151,0.7,2,died
135,22713,164,0.66,2,died
136,22891,178,0.65,3,died
137,23042,151,0.54,3,died
138,23184,142,0.43,1,died
139,23326,142,0.55,3,died
140,23503,177,0.47,1,died
141,23733,230,1.08,4,died
142,23897,164,1.02,5,died
143,24091,194,0.84,4,died
144,24313,222,1.11,4,died
145,24474,161,0.48,2,died
146,24625,151,0.86,3,died
147,24799,174,0.86,3,died
148,24938,139,0.37,1,died
149,25142,204,1.06,3,died
150,25202,60,0.25,2,died
151,25380,178,0.39,1,died
152,25569,189,0.7,2,died
153,25738,169,0.38,0,died
154,25880,142,0.43,1,died
155,26098,218,0.8,4,died
156,26487,389,0.82,1,died
157,26706,219,1.07,3,died
158,26878,172,0.71,3,died
159,27033,155,0.56,1,died
160,27245,212,0.84,4,died
161,27443,198,0.55,2,died
162,27493,50,0.05,0,died
163,27715,222,0.91,5,died
164,27923,208,1.05,3,died
165,28115,192,0.46,1,died
166,28257,142,0.52,2,died
167,28439,182,0.78,4,died
168,28622,183,0.88,4,died
169,28813,191,0.86,3,died
170,28956,143,0.62,2,died
171,29129,173,0.57,3,died
172,29315,186,0.62,2,died
173,29488,173,0.5,1,died
174,29665,177,0.88,5,died
175,29804,139,0.6,2,died
176,29971,167,0.5,1,died
177,30147,176,0.5,1,died
178,30301,154,0.4,1,died
179,30509,208,0.66,1,died
180,30583,74,0.23,0,died
181,30654,71,0.19,1,died
182,30851,197,1.08,4,died
183,31051,200,0.69,1,died
184,31202,151,0.7,3,died
185,31385,183,0.61,2,died
186,31589,204,1.09,3,died
187,31774,185,0.35,1,died
188,31930,156,0.75,1,died
189,32122,192,0.82,4,died
190,32263,141,0.8,3,died
191,32426,163,0.85,5,died
192,32577,151,0.76,3,died
193,32789,212,1.07,4,died
194,32937,148,0.62,4,died
195,33053,116,0.26,0,died
196,33214,161,0.85,3,died
197,33341,127,0.57,3,died
198,33525,184,0.75,3,died
199,33720,195,0.57,1,died
200,33909,189,0.51,1,died
201,34074,165,0.72,2,died
202,34277,203,0.74,3,died
203,34333,56,0.08,0,died
204,34539,206,0.8,3,died
205,34681,142,0.53,1,died
206,34819,138,0.46,1,died
207,35004,185,0.94,4,died
208,35142,138,0.64,3,died
209,35270,128,0.56,3,died
210,35342,72,0.4,2,died
211,35557,215,1.1,3,died
212,35719,162,0.4,1,died
213,35865,146,0.93,5,died
214,36013,148,0.65,3,died
215,36182,169,0.98,3,died
216,36380,198,0.97,3,died
217,36535,155,0.82,3,died
218,36758,223,0.83,2,died
219,36992,234,1.19,5,died
220,37165,173,0.61,3,died
221,37350,185,0.51,2,died
222,37554,204,1.1,5,died
223,37813,259,0.98,3,died
224,37997,184,0.98,4,died
225,38179,182,0.95,4,died
226,38385,206,0.88,3,died
227,38598,213,0.8,2,died
228,38760,162,0.55,2,died
229,38956,196,0.62,2,died
230,39099,143,0.69,3,died
231,39280,181,0.75,4,died
232,39446,166,0.72,1,died
233,39541,95,0.4,3,died
234,39824,283,1.22,3,died
235,39999,175,0.63,3,died
236,40115,116,0.25,1,died
237,40286,171,0.47,1,died
238,40510,224,0.93,4,died
239,40653,143,0.62,2,died
240,40828,175,0.42,1,died
241,40998,170,1.34,6,died
242,41195,197,0.82,3,died
