episode_id,timestep,episode_len,train_episode_return,num_achievements_unlocked,termination_reason
211,35194,136,1.65,4,died
212,35362,168,1.0,3,died
213,35563,201,1.2,2,died
214,35757,194,1.5,4,died
215,35905,148,1.0,3,died
216,36071,166,1.3,3,died
217,36253,182,0.7,1,died
218,36446,193,1.7,5,died
219,36642,196,1.1,3,died
220,36826,184,1.2,5,died
221,37001,175,1.3,2,died
222,37146,145,0.9,2,died
223,37308,162,0.8,2,died
224,37491,183,0.6,1,died
225,37681,190,1.3,4,died
226,37850,169,0.9,2,died
227,38033,183,1.1,4,died
228,38185,152,0.9,4,died
229,38376,191,1.3,3,died
230,38443,67,0.5,1,died
231,38630,187,1.4,6,died
232,38779,149,1.2,2,died
233,38975,196,1.6,4,died
234,39152,177,1.0,6,died
235,39289,137,0.9,2,died
236,39527,238,1.3,3,died
237,39593,66,0.4,1,died
238,39792,199,1.1,3,died
239,39897,105,0.7,3,died
240,40096,199,1.0,2,died
241,40243,147,1.15,5,died
242,40428,185,1.2,3,died
243,40590,162,1.4,5,died
244,40780,190,1.1,4,died
245,40966,186,1.7,6,died
246,41130,164,1.3,4,died
247,41295,165,0.9,4,died
248,41423,128,1.05,2,died
249,41614,191,1.8,6,died
250,41774,160,1.55,3,died
251,41921,147,1.4,5,died
252,42096,175,1.4,5,died
253,42291,195,1.3,4,died
254,42472,181,1.4,4,died
255,42507,35,0.5,3,died
256,42667,160,1.2,4,died
257,42867,200,0.9,3,died
258,43062,195,1.5,4,died
259,43256,194,1.3,3,died
260,43422,166,1.05,2,died
261,43680,258,1.95,6,died
262,43851,171,1.2,3,died
263,44118,267,1.9,6,died
264,44312,194,1.3,5,died
265,44506,194,1.2,5,died
266,44650,144,0.9,3,died
267,44791,141,1.4,6,died
268,44973,182,1.55,6,died
269,45169,196,1.75,5,died
270,45344,175,1.35,5,died
271,45520,176,1.3,5,died
272,45790,270,1.5,4,died
273,46033,243,1.8,6,died
274,46089,56,0.5,2,died
275,46245,156,1.35,5,died
276,46413,168,0.9,2,died
277,46609,196,1.05,5,died
278,46833,224,1.65,4,died
279,47019,186,1.3,5,died
280,47195,176,1.3,3,died
281,47346,151,1.2,5,died
282,47456,110,0.6,4,died
283,47671,215,1.2,3,died
284,47870,199,1.85,7,died
285,48072,202,1.2,3,died
286,48236,164,1.2,4,died
287,48292,56,0.3,1,died
288,48474,182,1.0,2,died
289,48630,156,1.7,5,died
290,48764,134,0.9,3,died
291,48910,146,0.5,1,died
292,49131,221,1.2,4,died
293,49296,165,1.7,5,died
294,49475,179,1.2,4,died
295,49717,242,1.9,6,died
296,49895,178,1.35,4,died
297,49958,63,0.3,1,died
298,50120,162,1.1,3,died
299,50299,179,1.1,5,died
300,50508,209,1.2,4,died
301,50650,142,0.8,3,died
302,50796,146,1.4,5,died
303,51018,222,1.8,5,died
304,51160,142,0.9,3,died
305,51216,56,0.6,1,died
306,51434,218,1.9,5,died
307,51616,182,0.8,4,died
308,51750,134,1.4,5,died
309,51899,149,0.8,3,died
310,52082,183,1.35,6,died
311,52235,153,1.45,5,died
312,52378,143,1.65,5,died
313,52505,127,0.4,2,died
314,52669,164,1.2,4,died
315,52833,164,0.9,3,died
316,52997,164,1.2,3,died
317,53209,212,1.6,5,died
318,53398,189,1.2,3,died
319,53564,166,1.2,3,died
320,53743,179,1.0,3,died
321,53895,152,1.45,6,died
322,53938,43,0.2,0,died
323,54083,145,1.4,5,died
324,54365,282,1.7,5,died
325,54535,170,1.1,3,died
326,54718,183,1.4,4,died
327,54861,143,0.6,1,died
328,55064,203,2.0,7,died
329,55105,41,0.3,1,died
330,55284,179,1.0,3,died
331,55487,203,1.3,3,died
332,55717,230,1.3,3,died
333,55889,172,0.6,1,died
334,56078,189,0.5,1,died
335,56194,116,0.8,4,died
336,56373,179,1.2,5,died
337,56542,169,1.0,5,died
338,56820,278,1.5,5,died
339,56977,157,1.0,3,died
340,57415,438,3.4,7,died
341,57559,144,1.15,2,died
342,57750,191,0.9,3,died
343,57918,168,1.7,5,died
344,58131,213,1.3,5,died
345,58270,139,0.9,3,died
346,58417,147,1.0,3,died
347,58588,171,0.9,4,died
348,58761,173,1.3,3,died
349,58937,176,1.75,6,died
350,59032,95,0.3,0,died
351,59235,203,1.4,3,died
352,59376,141,0.7,2,died
353,59507,131,1.1,2,died
354,59587,80,0.6,4,died
355,59654,67,0.4,0,died
356,59817,163,1.2,6,died
357,60027,210,1.5,4,died
358,60187,160,1.0,4,died
359,60336,149,1.0,3,died
360,60531,195,1.3,4,died
361,60666,135,0.9,2,died
362,60843,177,2.1,5,died
363,61024,181,1.0,5,died
364,61127,103,0.7,3,died
365,61301,174,1.2,3,died
366,61501,200,1.2,3,died
367,61704,203,1.65,6,died
368,61860,156,0.7,6,died
369,62034,174,1.3,4,died
370,62188,154,1.6,4,died
371,62391,203,1.85,7,died
372,62573,182,1.2,5,died
373,62687,114,0.6,3,died
374,62937,250,1.4,3,died
375,63097,160,1.3,4,died
376,63257,160,0.7,1,died
377,63399,142,0.6,1,died
378,63592,193,1.4,3,died
379,63769,177,1.0,3,died
380,63935,166,1.0,3,died
381,64135,200,1.3,5,died
382,64298,163,1.4,5,died
383,64457,159,1.4,4,died
384,64619,162,1.2,3,died
385,64808,189,1.35,5,died
386,64963,155,1.2,4,died
387,65140,177,0.6,1,died
388,65430,290,1.5,5,died
389,65592,162,0.7,2,died
390,65733,141,0.4,0,died
391,65978,245,1.8,6,died
392,66134,156,1.4,5,died
393,66280,146,0.9,3,died
394,66480,200,1.4,4,died
395,66613,133,0.9,1,died
396,66733,120,0.7,4,died
397,66947,214,1.3,4,died
398,67147,200,1.4,5,died
399,67367,220,1.55,5,died
400,67438,71,0.3,0,died
401,67828,390,1.5,3,died
402,67977,149,0.8,3,died
403,68082,105,0.7,3,died
404,68271,189,1.2,4,died
405,68469,198,1.0,3,died
406,68506,37,0.2,0,died
407,68662,156,0.8,3,died
408,68820,158,1.2,4,died
409,69027,207,1.2,3,died
410,69206,179,0.9,3,died
411,69408,202,1.85,6,died
412,69581,173,1.5,5,died
413,69734,153,1.8,6,died
414,69899,165,1.0,3,died
415,69957,58,0.4,2,died
416,70131,174,1.2,4,died
417,70348,217,1.85,6,died
418,70546,198,1.0,4,died
419,70758,212,0.8,1,died
420,70988,230,0.7,2,died
421,71095,107,0.7,3,died
422,71273,178,1.3,5,died
423,71514,241,1.5,6,died
424,71671,157,1.3,4,died
425,71860,189,1.2,3,died
426,72019,159,1.2,4,died
427,72188,169,1.2,3,died
428,72521,333,1.6,5,died
429,72672,151,1.1,4,died
430,72826,154,1.0,3,died
431,72962,136,0.6,0,died
432,73119,157,1.5,5,died
433,73255,136,0.7,3,died
434,73418,163,1.45,5,died
435,73633,215,1.5,4,died
436,73819,186,1.8,5,died
437,73988,169,1.1,3,died
438,74133,145,0.9,2,died
439,74309,176,1.5,6,died
440,74479,170,1.1,4,died
441,74627,148,1.0,3,died
442,74806,179,1.3,3,died
443,74961,155,0.9,3,died
444,75161,200,2.05,6,died
