episode_id,timestep,episode_len,train_episode_return,num_achievements_unlocked,termination_reason
0,185,185,0.68,3,died
1,308,123,0.25,0,died
2,461,153,0.38,1,died
3,617,156,0.71,3,died
4,762,145,0.87,4,died
5,904,142,0.61,3,died
6,1020,116,0.7,5,died
7,1192,172,0.49,2,died
8,1328,136,0.62,3,died
9,1367,39,0.25,2,died
10,1559,192,0.62,2,died
11,1717,158,0.89,4,died
12,1879,162,0.45,1,died
13,1980,101,0.25,1,died
14,2127,147,0.65,2,died
15,2350,223,0.87,4,died
16,2492,142,0.65,3,died
17,2746,254,0.8,3,died
18,2926,180,0.55,3,died
19,3089,163,0.53,1,died
20,3264,175,0.42,2,died
21,3416,152,0.73,3,died
22,3565,149,0.75,3,died
23,3699,134,0.53,3,died
24,3866,167,0.59,3,died
25,4018,152,0.61,1,died
26,4218,200,0.94,4,died
27,4454,236,0.86,3,died
28,4733,279,1.12,4,died
29,4919,186,0.41,1,died
30,5117,198,0.63,2,died
31,5209,92,0.32,0,died
32,5356,147,0.54,2,died
33,5540,184,0.68,3,died
34,5717,177,0.82,4,died
35,5881,164,0.65,4,died
36,6024,143,0.91,3,died
37,6168,144,0.77,3,died
38,6387,219,1.22,5,died
39,6579,192,0.84,3,died
40,6781,202,0.9,3,died
41,6966,185,0.87,3,died
42,7140,174,0.51,1,died
43,7445,305,0.84,4,died
44,7598,153,0.55,2,died
45,7783,185,0.81,3,died
46,7958,175,0.45,1,died
47,8152,194,0.5,1,died
48,8312,160,0.48,1,died
49,8540,228,0.66,1,died
50,8636,96,0.27,0,died
51,8818,182,0.48,3,died
52,9016,198,0.56,1,died
53,9154,138,0.6,3,died
54,9324,170,0.63,3,died
55,9458,134,0.69,3,died
56,9600,142,0.75,4,died
57,9712,112,0.29,1,died
58,9897,185,0.48,1,died
59,10069,172,1.02,5,died
60,10492,423,1.79,7,died
61,10922,430,1.68,5,died
62,10959,37,0.1,0,died
63,11099,140,0.62,2,died
64,11238,139,0.4,1,died
65,11374,136,0.43,2,died
66,11569,195,0.9,3,died
67,11710,141,0.6,1,died
68,11872,162,0.67,3,died
69,12018,146,0.65,2,died
70,12194,176,0.8,3,died
71,12304,110,0.65,3,died
72,12482,178,1.19,5,died
73,12535,53,0.08,0,died
74,12738,203,0.69,3,died
75,12879,141,0.48,1,died
76,12916,37,0.1,0,died
77,13056,140,0.65,2,died
78,13112,56,0.18,1,died
79,13291,179,0.63,3,died
80,13436,145,0.52,1,died
81,13616,180,0.88,4,died
82,13837,221,0.91,3,died
83,14028,191,0.62,3,died
84,14322,294,0.92,2,died
85,14502,180,0.87,2,died
86,14711,209,0.59,1,died
87,14970,259,0.81,2,died
88,15145,175,0.88,3,died
89,15311,166,0.72,3,died
90,15479,168,0.67,3,died
91,15639,160,0.59,2,died
92,15824,185,0.7,3,died
93,16023,199,0.51,1,died
94,16298,275,0.92,2,died
95,16464,166,0.88,4,died
96,16609,145,0.59,2,died
97,16758,149,0.49,1,died
98,16908,150,0.65,2,died
99,17054,146,0.6,1,died
100,17222,168,0.6,2,died
101,17444,222,1.17,4,died
102,17599,155,0.95,3,died
103,17777,178,0.77,2,died
104,17935,158,0.53,1,died
105,18100,165,0.5,1,died
106,18324,224,0.88,3,died
107,18497,173,0.75,2,died
108,18656,159,0.59,2,died
109,18861,205,0.6,2,died
110,18898,37,0.12,0,died
111,19083,185,0.84,4,died
112,19374,291,1.18,2,died
113,19482,108,0.32,0,died
114,19629,147,0.93,4,died
115,19832,203,0.57,1,died
116,20028,196,0.78,4,died
117,20182,154,0.37,1,died
118,20373,191,0.6,2,died
119,20519,146,0.47,1,died
120,20624,105,0.49,2,died
121,20855,231,0.73,3,died
122,21140,285,1.26,4,died
123,21317,177,0.51,1,died
124,21477,160,0.92,5,died
125,21614,137,0.45,1,died
126,21815,201,0.56,0,died
127,22065,250,0.72,3,died
128,22248,183,0.57,2,died
129,22431,183,0.48,1,died
130,22627,196,1.41,6,died
131,22733,106,0.25,1,died
132,22929,196,0.48,1,died
133,22974,45,0.06,0,died
134,23162,188,0.61,2,died
135,23348,186,0.8,3,died
136,23594,246,0.84,2,died
137,23756,162,0.58,1,died
138,23884,128,0.54,4,died
139,24064,180,0.59,2,died
140,24193,129,0.55,3,died
141,24346,153,0.5,1,died
142,24542,196,0.77,2,died
143,24691,149,0.74,4,died
144,24882,191,0.89,5,died
145,24943,61,0.08,0,died
146,25083,140,0.68,2,died
147,25140,57,0.3,3,died
148,25360,220,0.78,2,died
149,25532,172,0.53,2,died
150,25755,223,0.75,2,died
151,26007,252,0.93,2,died
152,26182,175,1.05,4,died
153,26406,224,0.69,2,died
154,26616,210,0.86,2,died
155,26812,196,0.77,3,died
156,26995,183,0.73,4,died
157,27135,140,0.63,2,died
158,27277,142,1.03,5,died
159,27481,204,0.53,1,died
160,27520,39,0.14,1,died
161,27699,179,0.48,1,died
162,27867,168,0.76,3,died
163,28039,172,0.8,3,died
164,28219,180,0.46,1,died
165,28324,105,0.27,1,died
166,28469,145,0.52,1,died
167,28517,48,0.1,0,died
168,28731,214,0.96,4,died
169,28897,166,0.9,4,died
170,29085,188,0.8,3,died
171,29267,182,0.73,4,died
172,29469,202,0.81,2,died
173,29639,170,0.47,2,died
174,29864,225,1.11,4,died
175,30014,150,0.47,1,died
176,30205,191,0.57,2,died
177,30389,184,0.5,2,died
178,30428,39,0.15,1,died
179,30573,145,0.86,5,died
180,30775,202,0.8,2,died
181,30979,204,0.69,3,died
182,31193,214,0.75,2,died
183,31376,183,0.5,2,died
184,31539,163,0.88,4,died
185,31726,187,0.47,1,died
186,31920,194,0.71,3,died
187,32036,116,0.32,1,died
188,32277,241,1.03,4,died
189,32492,215,1.26,5,died
190,32657,165,0.54,1,died
191,32799,142,0.69,3,died
192,32975,176,0.67,2,died
193,33107,132,0.57,2,died
194,33233,126,0.5,3,died
195,33374,141,0.32,1,died
196,33518,144,0.43,1,died
197,33716,198,0.91,3,died
198,33867,151,0.73,3,died
199,34070,203,1.05,4,died
200,34214,144,0.63,3,died
201,34408,194,0.85,4,died
202,34550,142,0.71,2,died
203,34710,160,0.65,3,died
204,34847,137,0.93,3,died
205,35033,186,0.75,4,died
206,35233,200,0.56,1,died
207,35382,149,0.75,2,died
208,35531,149,0.55,1,died
209,35698,167,0.82,3,died
210,35882,184,0.71,2,died
211,36072,190,0.83,3,died
212,36200,128,0.45,2,died
213,36338,138,0.79,3,died
214,36516,178,0.67,3,died
215,36670,154,0.45,1,died
216,36826,156,0.65,2,died
217,36969,143,0.68,4,died
218,37132,163,0.79,3,died
219,37336,204,1.21,4,died
220,37478,142,0.66,3,died
221,37732,254,0.78,3,died
222,37901,169,0.8,4,died
223,38059,158,0.56,2,died
224,38308,249,1.31,4,died
225,38533,225,0.79,2,died
226,38686,153,0.85,3,died
227,38855,169,0.68,2,died
228,39051,196,1.25,4,died
229,39253,202,1.03,4,died
230,39401,148,0.59,2,died
231,39594,193,0.43,1,died
232,39740,146,0.62,3,died
233,39918,178,0.62,2,died
234,40264,346,1.73,5,died
235,40427,163,0.69,3,died
236,40611,184,0.47,2,died
237,40793,182,0.4,1,died
238,40917,124,0.33,0,died
239,41197,280,1.61,5,died
240,41349,152,0.48,1,died
241,41736,387,1.12,3,died
242,41904,168,0.95,4,died
243,42043,139,0.79,4,died
244,42208,165,0.68,3,died
245,42378,170,0.75,3,died
246,42530,152,0.68,2,died
247,42682,152,0.81,3,died
248,42833,151,0.34,1,died
249,43031,198,1.07,3,died
250,43179,148,0.75,3,died
251,43339,160,0.78,2,died
252,43506,167,0.75,3,died
253,43677,171,0.85,3,died
254,43834,157,0.6,3,died
255,43998,164,0.62,2,died
256,44141,143,0.41,1,died
257,44311,170,0.58,2,died
258,44462,151,0.71,3,died
259,44630,168,0.68,3,died
260,44791,161,0.68,3,died
261,44983,192,0.89,3,died
262,45118,135,0.46,1,died
263,45285,167,0.58,2,died
264,45487,202,1.08,3,died
265,45732,245,1.23,5,died
266,45945,213,1.0,3,died
267,46160,215,0.7,1,died
268,46338,178,0.67,2,died
269,46539,201,1.03,4,died
270,46708,169,0.52,1,died
271,46924,216,0.65,1,died
272,47145,221,1.55,5,died
273,47195,50,0.12,1,died
274,47331,136,0.67,3,died
275,47557,226,0.79,3,died
276,47708,151,0.48,1,died
277,47847,139,0.63,3,died
278,48024,177,0.83,3,died
279,48236,212,1.01,4,died
280,48382,146,0.68,3,died
281,48524,142,0.65,2,died
282,48676,152,0.7,2,died
283,48863,187,0.61,2,died
284,49043,180,0.68,3,died
285,49104,61,0.15,1,died
286,49247,143,0.69,3,died
287,49304,57,0.22,1,died
288,49469,165,0.72,3,died
289,49682,213,0.93,3,died
290,49878,196,0.97,4,died
291,50041,163,0.63,4,died
292,50199,158,0.92,3,died
293,50390,191,0.62,1,died
294,50534,144,0.75,2,died
295,50711,177,0.75,3,died
296,50823,112,0.43,2,died
297,50988,165,0.54,1,died
298,51204,216,1.02,4,died
299,51397,193,1.1,4,died
300,51596,199,0.85,4,died
301,51742,146,0.64,2,died
302,51891,149,0.75,3,died
303,52027,136,1.0,3,died
304,52178,151,0.55,3,died
305,52326,148,0.75,2,died
306,52481,155,0.67,3,died
307,52650,169,0.89,4,died
308,52817,167,0.68,3,died
309,53028,211,1.4,4,died
310,53185,157,1.09,3,died
311,53336,151,1.05,4,died
312,53384,48,0.25,2,died
313,53603,219,0.91,3,died
314,53724,121,0.58,3,died
315,53911,187,0.81,3,died
316,54064,153,0.71,3,died
317,54227,163,0.77,3,died
318,54357,130,0.55,2,died
319,54576,219,0.82,3,died
320,54726,150,0.64,4,died
321,54961,235,0.98,4,died
322,55041,80,0.55,3,died
323,55214,173,0.87,2,died
324,55356,142,0.92,3,died
325,55538,182,0.92,4,died
326,55709,171,0.34,1,died
327,55852,143,0.71,3,died
328,56081,229,0.96,3,died
329,56304,223,0.95,4,died
330,56475,171,0.72,4,died
331,56656,181,0.76,3,died
332,56818,162,0.92,3,died
333,57113,295,1.16,4,died
334,57305,192,0.87,4,died
335,57500,195,1.05,4,died
336,57658,158,0.65,2,died
337,57813,155,0.45,1,died
338,57994,181,0.96,3,died
339,58194,200,1.02,4,died
340,58354,160,0.58,4,died
341,58522,168,0.64,3,died
342,58668,146,0.61,3,died
343,58815,147,0.59,3,died
344,58974,159,0.31,1,died
345,59171,197,0.93,3,died
346,59324,153,0.7,4,died
347,59456,132,0.65,3,died
348,59624,168,0.79,3,died
349,59803,179,0.83,3,died
350,59871,68,0.12,0,died
351,60010,139,0.65,2,died
352,60117,107,0.41,3,died
353,60234,117,0.39,2,died
354,60381,147,0.47,2,died
355,60536,155,0.53,3,died
356,60697,161,0.62,3,died
357,60888,191,0.6,2,died
358,61041,153,0.83,4,died
359,61181,140,0.82,3,died
360,61383,202,0.77,4,died
