episode_id,timestep,episode_len,train_episode_return,num_achievements_unlocked,termination_reason
210,35796,38,-0.9,0,died
211,35983,187,3.1,4,died
212,36116,133,3.1,4,died
213,36388,272,6.1,7,died
214,36542,154,0.1,1,died
215,36686,144,2.1,3,died
216,36880,194,2.1,3,died
217,37064,184,3.1,4,died
218,37219,155,0.1,1,died
219,37372,153,3.1,4,died
220,37554,182,5.1,6,died
221,37789,235,1.1,2,died
222,37928,139,2.1,3,died
223,38073,145,3.1,4,died
224,38262,189,1.1,2,died
225,38298,36,-0.9,0,died
226,38454,156,2.1,3,died
227,38687,233,3.1,4,died
228,38892,205,3.1,4,died
229,39087,195,4.1,5,died
230,39291,204,3.1,4,died
231,39465,174,3.1,4,died
232,39635,170,2.1,3,died
233,39776,141,2.1,3,died
234,39878,102,0.1,1,died
235,40048,170,3.1,4,died
236,40194,146,0.1,1,died
237,40285,91,0.1,1,died
238,40409,124,1.1,2,died
239,40581,172,2.1,3,died
240,40776,195,3.1,4,died
241,40922,146,0.1,1,died
242,41060,138,0.1,1,died
243,41205,145,2.1,3,died
244,41410,205,2.1,3,died
245,41620,210,3.1,4,died
246,41791,171,3.1,4,died
247,42006,215,1.1,2,died
248,42199,193,1.1,2,died
249,42426,227,2.1,3,died
250,42678,252,5.1,6,died
251,42845,167,2.1,3,died
252,43014,169,3.1,4,died
253,43209,195,3.1,4,died
254,43439,230,2.1,3,died
255,43494,55,1.1,2,died
256,43727,233,5.1,6,died
257,43963,236,3.1,4,died
258,44104,141,3.1,4,died
259,44317,213,3.1,4,died
260,44493,176,2.1,3,died
261,44763,270,4.1,5,died
262,45141,378,1.1,2,died
263,45339,198,5.1,6,died
264,45405,66,1.1,2,died
265,45588,183,3.1,4,died
266,45766,178,1.1,2,died
267,45927,161,3.1,4,died
268,46011,84,0.1,1,died
269,46188,177,2.1,3,died
270,46381,193,0.1,1,died
271,46610,229,2.1,3,died
272,46765,155,3.1,4,died
273,46956,191,2.1,3,died
274,47107,151,4.1,5,died
275,47263,156,3.1,4,died
276,47463,200,2.1,3,died
277,47704,241,3.1,4,died
278,47874,170,2.1,3,died
279,48024,150,4.1,5,died
280,48160,136,3.1,4,died
281,48309,149,1.1,2,died
282,48504,195,3.1,4,died
283,48694,190,2.1,3,died
284,48882,188,1.1,2,died
285,49113,231,1.1,2,died
286,49324,211,2.1,3,died
287,49396,72,2.1,3,died
288,49586,190,2.1,3,died
289,49652,66,0.1,1,died
290,49816,164,1.1,2,died
291,49994,178,2.1,3,died
292,50186,192,3.1,4,died
293,50417,231,4.1,5,died
294,50619,202,2.1,3,died
295,50762,143,3.1,4,died
296,50800,38,1.1,2,died
297,50992,192,2.1,3,died
298,51142,150,3.1,4,died
299,51330,188,2.1,3,died
300,51522,192,3.1,4,died
301,51680,158,4.1,5,died
302,51754,74,0.1,1,died
303,51941,187,3.1,4,died
304,52113,172,3.1,4,died
305,52266,153,1.1,2,died
306,52443,177,4.1,5,died
307,52579,136,3.1,4,died
308,52990,411,2.1,3,died
309,53153,163,1.1,2,died
310,53373,220,1.1,2,died
311,53593,220,4.1,5,died
312,53772,179,5.1,6,died
313,53965,193,2.1,3,died
314,54142,177,4.1,5,died
315,54446,304,2.1,3,died
316,54652,206,4.1,5,died
317,54810,158,0.1,1,died
318,54985,175,4.1,5,died
319,55152,167,4.1,5,died
320,55329,177,6.1,7,died
321,55550,221,2.1,3,died
322,55726,176,3.1,4,died
323,55851,125,2.1,3,died
324,56052,201,3.1,4,died
325,56230,178,3.1,4,died
326,56467,237,2.1,3,died
327,56638,171,5.1,6,died
328,56800,162,3.1,4,died
329,56976,176,0.1,1,died
330,57200,224,3.1,4,died
331,57466,266,3.1,4,died
332,57648,182,4.1,5,died
333,57682,34,-0.9,0,died
334,57864,182,1.1,2,died
335,57913,49,0.1,1,died
336,58062,149,2.1,3,died
337,58277,215,5.1,6,died
338,58455,178,1.1,2,died
339,58658,203,1.1,2,died
340,58808,150,2.1,3,died
341,59001,193,4.1,5,died
342,59147,146,2.1,4,died
343,59300,153,4.1,5,died
344,59492,192,3.1,4,died
345,59676,184,3.1,4,died
346,59724,48,-0.9,0,died
347,59870,146,1.1,2,died
348,60035,165,3.1,4,died
349,60173,138,0.1,1,died
350,60358,185,4.1,5,died
351,60530,172,3.1,4,died
352,60718,188,4.1,5,died
353,60893,175,0.1,1,died
354,61118,225,4.1,5,died
355,61216,98,3.1,4,died
356,61454,238,6.1,7,died
357,61584,130,2.1,3,died
358,61737,153,2.1,3,died
359,61957,220,3.1,4,died
360,62178,221,3.1,4,died
361,62377,199,3.1,4,died
362,62566,189,4.1,5,died
363,62775,209,1.1,2,died
364,62937,162,2.1,3,died
365,63081,144,3.1,4,died
366,63248,167,3.1,4,died
367,63407,159,2.1,3,died
368,63572,165,3.1,4,died
369,63709,137,4.1,5,died
370,63868,159,1.1,2,died
371,64143,275,4.1,5,died
372,64303,160,4.1,5,died
373,64455,152,2.1,3,died
374,64592,137,1.1,2,died
375,64640,48,-0.9,0,died
376,64719,79,2.1,3,died
377,64851,132,1.1,2,died
378,64994,143,0.1,1,died
379,65287,293,8.1,9,died
380,65486,199,1.1,2,died
381,65648,162,1.1,2,died
382,65839,191,4.1,5,died
383,65988,149,2.1,3,died
384,66200,212,4.1,5,died
385,66357,157,3.1,4,died
386,66415,58,0.1,1,died
387,66562,147,3.1,4,died
388,66753,191,4.1,5,died
389,66899,146,1.1,2,died
390,67073,174,2.1,3,died
391,67267,194,2.1,3,died
392,67466,199,2.1,3,died
393,67671,205,4.1,5,died
394,67917,246,3.1,4,died
395,68080,163,1.1,2,died
396,68242,162,3.1,4,died
397,68473,231,3.1,4,died
398,68652,179,4.1,5,died
399,68794,142,2.1,3,died
400,68965,171,2.1,3,died
401,69048,83,4.1,5,died
402,69207,159,0.1,1,died
403,69463,256,6.1,7,died
404,69594,131,3.1,4,died
405,69775,181,4.1,5,died
406,70014,239,2.1,3,died
407,70168,154,3.1,4,died
408,70383,215,2.1,3,died
409,70538,155,2.1,3,died
410,70721,183,2.1,3,died
411,70858,137,2.1,3,died
412,71051,193,3.1,4,died
413,71257,206,4.1,5,died
414,71461,204,2.1,3,died
415,71629,168,4.1,5,died
416,71796,167,3.1,4,died
417,72010,214,4.1,5,died
418,72176,166,5.1,6,died
419,72313,137,2.1,3,died
420,72437,124,2.1,3,died
421,72466,29,-0.9,0,died
422,72672,206,0.1,1,died
423,72878,206,3.1,4,died
424,73020,142,1.1,2,died
425,73162,142,3.1,4,died
426,73213,51,-0.9,0,died
427,73448,235,4.1,5,died
428,73636,188,2.1,3,died
429,73860,224,4.1,5,died
430,74034,174,4.1,5,died
431,74294,260,3.1,4,died
432,74437,143,2.1,3,died
433,74639,202,4.1,5,died
434,74675,36,1.1,2,died
435,74858,183,3.1,4,died
436,75011,153,0.1,1,died
437,75326,315,4.1,5,died
438,75494,168,4.1,5,died
439,75641,147,1.1,2,died
440,76043,402,6.1,7,died
441,76292,249,3.1,4,died
442,76478,186,1.1,2,died
443,76639,161,1.1,2,died
444,76803,164,3.1,4,died
445,77017,214,2.1,3,died
446,77203,186,5.1,6,died
447,77478,275,5.1,6,died
448,77646,168,2.1,3,died
449,78025,379,0.1,1,died
450,78187,162,2.1,3,died
451,78281,94,0.1,1,died
452,78478,197,3.1,4,died
453,78621,143,1.1,2,died
454,78802,181,1.1,2,died
455,78937,135,2.1,3,died
456,79106,169,1.1,2,died
457,79309,203,3.1,4,died
458,79458,149,5.1,6,died
459,79598,140,1.1,2,died
460,79760,162,3.1,4,died
461,79895,135,3.1,4,died
462,80101,206,4.1,5,died
463,80144,43,-0.9,0,died
464,80312,168,2.1,3,died
465,80482,170,5.1,6,died
466,80517,35,1.1,2,died
467,80622,105,0.1,1,died
468,80848,226,3.1,4,died
469,80995,147,2.1,3,died
470,81080,85,2.1,3,died
471,81325,245,1.1,2,died
472,81506,181,3.1,4,died
473,81687,181,3.1,4,died
474,81840,153,2.1,3,died
475,82063,223,2.1,3,died
476,82281,218,3.1,4,died
477,82535,254,3.1,4,died
478,82704,169,1.1,2,died
479,82960,256,5.1,6,died
480,83050,90,2.1,3,died
481,83203,153,2.1,3,died
482,83392,189,3.1,4,died
483,83678,286,5.1,6,died
484,83843,165,3.1,4,died
485,84018,175,5.1,6,died
486,84213,195,3.1,4,died
487,84391,178,3.1,4,died
488,84538,147,4.1,5,died
489,84694,156,1.1,2,died
490,84927,233,3.1,4,died
491,85145,218,7.1,8,died
492,85314,169,2.1,3,died
493,85468,154,0.1,1,died
494,85709,241,2.1,3,died
495,85848,139,2.1,3,died
496,86035,187,3.1,4,died
497,86119,84,2.1,3,died
498,86278,159,2.1,3,died
499,86444,166,4.1,5,died
500,86638,194,5.1,6,died
501,86779,141,2.1,3,died
502,86925,146,3.1,4,died
503,87142,217,3.1,4,died
504,87180,38,0.1,1,died
505,87322,142,2.1,3,died
506,87503,181,3.1,4,died
507,87578,75,0.1,1,died
508,87814,236,6.1,7,died
509,87961,147,4.1,5,died
510,88145,184,3.1,4,died
511,88258,113,2.1,3,died
512,88485,227,4.1,5,died
513,88731,246,5.1,6,died
514,88960,229,4.1,5,died
515,89194,234,3.1,4,died
516,89360,166,5.1,6,died
517,89567,207,3.1,4,died
518,89743,176,2.1,3,died
519,89963,220,4.1,5,died
520,90147,184,3.1,4,died
521,90324,177,0.1,1,died
522,90407,83,1.1,2,died
523,90589,182,3.1,4,died
524,90757,168,2.1,3,died
525,90927,170,2.1,3,died
526,91109,182,4.1,5,died
527,91300,191,3.1,4,died
528,91510,210,0.1,1,died
529,91688,178,1.1,2,died
530,92072,384,3.1,4,died
531,92294,222,3.1,4,died
532,92469,175,3.1,4,died
533,92622,153,2.1,3,died
534,92773,151,3.1,4,died
535,92906,133,3.1,4,died
536,93112,206,2.1,3,died
537,93250,138,4.1,5,died
538,93762,512,5.1,6,died
539,93945,183,3.1,4,died
540,94174,229,1.1,2,died
541,94359,185,3.1,4,died
542,94631,272,4.1,5,died
543,94821,190,0.1,1,died
544,94954,133,2.1,3,died
545,95094,140,3.1,4,died
546,95239,145,1.1,3,died
547,95415,176,4.1,5,died
548,95556,141,1.1,2,died
549,95695,139,3.1,4,died
550,95893,198,3.1,4,died
551,96085,192,1.1,2,died
552,96279,194,3.1,4,died
553,96444,165,1.1,2,died
554,96587,143,5.1,6,died
555,96805,218,1.1,2,died
556,97040,235,4.1,5,died
557,97215,175,3.1,4,died
558,97354,139,4.1,5,died
559,97544,190,4.1,5,died
560,97695,151,0.1,1,died
561,97888,193,4.1,5,died
562,98133,245,4.1,5,died
563,98292,159,1.1,2,died
564,98458,166,2.1,3,died
565,98586,128,0.1,1,died
566,98761,175,2.1,3,died
567,98894,133,2.1,3,died
568,99087,193,6.1,7,died
569,99277,190,2.1,3,died
570,99471,194,4.1,5,died
571,99791,320,3.1,4,died
572,99929,138,1.1,2,died
573,100099,170,2.1,3,died
574,100338,239,2.1,3,died
575,100513,175,4.1,5,died
576,100712,199,3.1,4,died
577,100788,76,0.1,1,died
578,101050,262,3.1,4,died
579,101241,191,4.1,5,died
580,101310,69,0.1,1,died
581,101444,134,0.1,1,died
582,101631,187,4.1,5,died
583,101791,160,5.1,6,died
584,102095,304,8.1,9,died
585,102277,182,1.1,2,died
586,102460,183,2.1,3,died
587,102619,159,0.1,1,died
588,102797,178,3.1,4,died
589,102962,165,1.1,2,died
590,103061,99,1.1,2,died
591,103290,229,6.1,7,died
592,103506,216,2.1,3,died
593,103686,180,4.1,6,died
594,103841,155,2.1,3,died
595,103983,142,0.1,1,died
596,104147,164,1.1,2,died
597,104373,226,2.1,3,died
598,104409,36,-0.9,0,died
599,104449,40,1.1,2,died
600,104613,164,1.1,2,died
601,104790,177,1.1,2,died
602,104940,150,3.1,4,died
603,104997,57,1.1,2,died
604,105071,74,1.1,2,died
605,105225,154,2.1,3,died
606,105305,80,2.1,3,died
607,105448,143,3.1,4,died
608,105633,185,4.1,5,died
609,105723,90,0.1,1,died
610,105889,166,2.1,3,died
611,106103,214,4.1,5,died
612,106324,221,3.1,4,died
613,106534,210,3.1,4,died
614,106747,213,3.1,4,died
615,106918,171,3.1,4,died
616,107102,184,4.1,5,died
617,107297,195,4.1,5,died
618,107438,141,0.1,1,died
619,107486,48,2.1,3,died
620,107552,66,0.1,1,died
621,107732,180,2.1,3,died
622,107911,179,0.1,1,died
623,108110,199,3.1,4,died
624,108365,255,0.1,1,died
625,108548,183,3.1,4,died
626,108813,265,4.1,5,died
627,109038,225,4.1,5,died
628,109277,239,4.1,5,died
629,109531,254,3.1,4,died
630,109580,49,0.1,1,died
631,109653,73,3.1,5,died
632,109882,229,3.1,5,died
633,110055,173,2.1,3,died
634,110256,201,6.1,7,died
635,110294,38,-0.9,0,died
636,110330,36,0.1,1,died
637,110507,177,3.1,4,died
638,110667,160,3.1,4,died
639,110835,168,0.1,1,died
640,111033,198,5.1,6,died
641,111250,217,6.1,7,died
642,111431,181,2.1,3,died
643,111659,228,5.1,6,died
644,111792,133,3.1,4,died
645,111991,199,2.1,4,died
646,112131,140,5.1,6,died
647,112304,173,2.1,3,died
648,112484,180,1.1,2,died
649,112573,89,1.1,2,died
650,112723,150,2.1,3,died
651,112944,221,4.1,5,died
652,113083,139,4.1,5,died
653,113486,403,5.1,6,died
654,113586,100,2.1,3,died
655,113802,216,3.1,4,died
656,113945,143,2.1,3,died
657,114202,257,3.1,4,died
658,114443,241,2.1,3,died
659,114630,187,3.1,4,died
660,114903,273,4.1,5,died
661,115144,241,1.1,2,died
662,115286,142,3.1,4,died
663,115481,195,4.1,5,died
664,115665,184,5.1,6,died
665,115866,201,2.1,3,died
666,116066,200,5.1,6,died
667,116206,140,2.1,3,died
668,116284,78,1.1,2,died
669,116538,254,4.1,5,died
670,116714,176,2.1,3,died
671,116852,138,4.1,5,died
672,117036,184,6.1,7,died
673,117209,173,6.1,7,died
674,117389,180,6.1,7,died
675,117587,198,0.1,1,died
676,117746,159,3.1,4,died
677,117895,149,3.1,4,died
678,118097,202,6.1,7,died
679,118282,185,4.1,5,died
680,118519,237,5.1,6,died
681,118601,82,3.1,4,died
682,118752,151,2.1,4,died
683,118949,197,0.1,1,died
684,119236,287,1.1,2,died
685,119375,139,3.1,4,died
686,119516,141,3.1,4,died
687,119696,180,4.1,5,died
688,120090,394,3.1,4,died
689,120276,186,2.1,3,died
690,120436,160,1.1,2,died
691,120535,99,1.1,2,died
692,120702,167,3.1,4,died
693,120736,34,-0.9,0,died
694,120919,183,5.1,6,died
695,121056,137,0.1,1,died
696,121195,139,2.1,3,died
697,121327,132,1.1,2,died
698,121499,172,1.1,2,died
699,121536,37,0.1,1,died
700,121669,133,2.1,3,died
701,121863,194,2.1,3,died
702,122009,146,2.1,3,died
703,122152,143,0.1,1,died
704,122345,193,6.1,7,died
705,122481,136,3.1,4,died
706,122614,133,1.1,2,died
707,122801,187,4.1,5,died
708,122974,173,4.1,5,died
709,123174,200,6.1,7,died
710,123354,180,3.1,4,died
711,123464,110,2.1,3,died
712,123649,185,5.1,6,died
713,123788,139,2.1,4,died
714,124217,429,5.1,6,died
715,124255,38,1.1,2,died
716,124397,142,2.1,3,died
717,124536,139,1.1,2,died
718,124703,167,4.1,5,died
719,124881,178,4.1,5,died
720,125049,168,1.1,2,died
721,125222,173,2.1,3,died
722,125304,82,2.1,3,died
723,125502,198,3.1,4,died
724,125593,91,2.1,3,died
725,125771,178,3.1,4,died
726,125880,109,3.1,4,died
727,126107,227,4.1,5,died
728,126261,154,4.1,5,died
729,126402,141,5.1,6,died
730,126617,215,3.1,4,died
731,126823,206,3.1,4,died
732,126899,76,1.1,2,died
733,127087,188,0.1,1,died
734,127243,156,3.1,4,died
735,127418,175,3.1,4,died
736,127593,175,4.1,5,died
737,127778,185,4.1,6,died
738,127948,170,2.1,3,died
739,128078,130,4.1,5,died
740,128233,155,4.1,5,died
741,128396,163,4.1,5,died
742,128542,146,1.1,2,died
743,128628,86,0.1,1,died
744,129005,377,4.1,5,died
745,129098,93,0.1,1,died
746,129140,42,2.1,3,died
747,129328,188,5.1,6,died
748,129513,185,4.1,5,died
749,129681,168,3.1,4,died
750,129900,219,3.1,4,died
751,130071,171,0.1,1,died
752,130226,155,3.1,4,died
753,130324,98,3.1,4,died
754,130584,260,3.1,4,died
755,130749,165,3.1,4,died
756,130945,196,2.1,3,died
757,131076,131,2.1,3,died
758,131141,65,1.1,2,died
759,131311,170,5.1,6,died
760,131538,227,3.1,4,died
761,131617,79,2.1,3,died
762,131808,191,4.1,5,died
763,132021,213,2.1,3,died
764,132264,243,6.1,7,died
765,132417,153,3.1,4,died
766,132630,213,2.1,4,died
767,132790,160,4.1,5,died
768,132985,195,2.1,3,died
769,133144,159,4.1,5,died
770,133305,161,2.1,3,died
771,133469,164,5.1,6,died
772,133712,243,2.1,3,died
773,133902,190,2.1,3,died
774,134067,165,2.1,3,died
775,134243,176,4.1,5,died
776,134438,195,3.1,4,died
777,134645,207,3.1,4,died
778,134958,313,8.1,9,died
779,135177,219,6.1,7,died
780,135362,185,4.1,5,died
781,135412,50,1.1,2,died
782,135554,142,4.1,5,died
783,135807,253,4.1,5,died
784,135961,154,3.1,4,died
785,136116,155,4.1,5,died
786,136252,136,2.1,3,died
787,136343,91,3.1,4,died
788,136532,189,4.1,5,died
789,136631,99,1.1,2,died
790,136795,164,6.1,7,died
791,137004,209,5.1,6,died
792,137186,182,2.1,3,died
793,137352,166,2.1,3,died
794,137783,431,6.1,7,died
795,137931,148,2.1,3,died
796,138069,138,3.1,4,died
797,138263,194,1.1,3,died
798,138470,207,4.1,5,died
799,138673,203,4.1,5,died
800,138845,172,5.1,6,died
801,139029,184,3.1,4,died
802,139227,198,1.1,2,died
